date,firm_id,equity_price
2020-06-09,JPM,95.26
2020-06-10,JPM,91.4
2020-06-11,JPM,83.78
2020-06-12,JPM,86.07
2020-06-15,JPM,87.26
2020-06-16,JPM,87.96
2020-06-17,JPM,85.73
2020-06-18,JPM,85.27
2020-06-19,JPM,84.29
2020-06-22,JPM,83.38
2020-06-23,JPM,84.4
2020-06-24,JPM,81.58
2020-06-25,JPM,84.42
2020-06-26,JPM,79.79
2020-06-29,JPM,80.15
2020-06-30,JPM,81.06
2020-07-01,JPM,80.37
2020-07-02,JPM,80.63
2020-07-06,JPM,82.67
2020-07-07,JPM,80.34
2020-07-08,JPM,81.19
2020-07-09,JPM,79.43
2020-07-10,JPM,83.77
2020-07-13,JPM,84.97
2020-07-14,JPM,85.46
2020-07-15,JPM,86.78
2020-07-16,JPM,87.03
2020-07-17,JPM,85.42
2020-07-20,JPM,84.67
2020-07-21,JPM,86.51
2020-07-22,JPM,85.88
2020-07-23,JPM,86.13
2020-07-24,JPM,85.52
2020-07-27,JPM,84.32
2020-07-28,JPM,84.69
2020-07-29,JPM,86.74
2020-07-30,JPM,84.43
2020-07-31,JPM,84.1
2020-08-03,JPM,83.63
2020-08-04,JPM,83.15
2020-08-05,JPM,84.59
2020-08-06,JPM,84.62
2020-08-07,JPM,86.48
2020-08-10,JPM,87.58
2020-08-11,JPM,90.34
2020-08-12,JPM,89.58
2020-08-13,JPM,89.08
2020-08-14,JPM,89.12
2020-08-17,JPM,86.77
2020-08-18,JPM,85.56
2020-08-19,JPM,85.76
2020-08-20,JPM,84.73
2020-08-21,JPM,84.69
2020-08-24,JPM,87.07
2020-08-25,JPM,87.45
2020-08-26,JPM,86.23
2020-08-27,JPM,89.06
2020-08-28,JPM,89.43
2020-08-31,JPM,87.19
2020-09-01,JPM,87.14
2020-09-02,JPM,88.46
2020-09-03,JPM,88.18
2020-09-04,JPM,90.08
2020-09-08,JPM,86.95
2020-09-09,JPM,87.78
2020-09-10,JPM,86.87
2020-09-11,JPM,87.95
2020-09-14,JPM,89.17
2020-09-15,JPM,86.39
2020-09-16,JPM,86.76
2020-09-17,JPM,85.77
2020-09-18,JPM,85.58
2020-09-21,JPM,82.94
2020-09-22,JPM,82.03
2020-09-23,JPM,80.7
2020-09-24,JPM,80.63
2020-09-25,JPM,81.34
2020-09-28,JPM,83.68
2020-09-29,JPM,82.97
2020-09-30,JPM,83.77
2020-10-01,JPM,84.38
2020-10-02,JPM,85.18
2020-10-05,JPM,86.98
2020-10-06,JPM,86.09
2020-10-07,JPM,87.59
2020-10-08,JPM,89.39
2020-10-09,JPM,88.88
2020-10-12,JPM,89.97
2020-10-13,JPM,88.51
2020-10-14,JPM,88.02
2020-10-15,JPM,89.34
2020-10-16,JPM,89.15
2020-10-19,JPM,87.65
2020-10-20,JPM,88.15
2020-10-21,JPM,87.27
2020-10-22,JPM,90.36
2020-10-23,JPM,91.17
2020-10-26,JPM,88.92
2020-10-27,JPM,87.24
2020-10-28,JPM,84.79
2020-10-29,JPM,85.34
2020-10-30,JPM,86.11
2020-11-02,JPM,88.05
2020-11-03,JPM,90.82
2020-11-04,JPM,88.05
2020-11-05,JPM,91.65
2020-11-06,JPM,90.43
2020-11-09,JPM,102.67
2020-11-10,JPM,102.34
2020-11-11,JPM,100.81
2020-11-12,JPM,99.57
2020-11-13,JPM,100.19
2020-11-16,JPM,103.02
2020-11-17,JPM,101.98
2020-11-18,JPM,101.22
2020-11-19,JPM,101.49
2020-11-20,JPM,100.62
2020-11-23,JPM,103.52
2020-11-24,JPM,108.31
2020-11-25,JPM,107.18
2020-11-27,JPM,106.46
2020-11-30,JPM,103.53
2020-12-01,JPM,105.16
2020-12-02,JPM,107.18
2020-12-03,JPM,106.48
2020-12-04,JPM,107.45
2020-12-07,JPM,107.04
2020-12-08,JPM,107.15
2020-12-09,JPM,106.32
2020-12-10,JPM,105.63
2020-12-11,JPM,105.01
2020-12-14,JPM,103.9
2020-12-15,JPM,105.67
2020-12-16,JPM,105.98
2020-12-17,JPM,105.1
2020-12-18,JPM,104.58
2020-12-21,JPM,108.51
2020-12-22,JPM,106.86
2020-12-23,JPM,109.85
2020-12-24,JPM,109.36
2020-12-28,JPM,110.08
2020-12-29,JPM,109.79
2020-12-30,JPM,110.1
2020-01-02,TSLA,28.68
2020-01-03,TSLA,29.53
2020-01-06,TSLA,30.1
2020-01-07,TSLA,31.27
2020-01-08,TSLA,32.81
2020-01-09,TSLA,32.09
2020-01-10,TSLA,31.88
2020-01-13,TSLA,34.99
2020-01-14,TSLA,35.86
2020-01-15,TSLA,34.57
2020-01-16,TSLA,34.23
2020-01-17,TSLA,34.03
2020-01-21,TSLA,36.48
2020-01-22,TSLA,37.97
2020-01-23,TSLA,38.15
2020-01-24,TSLA,37.65
2020-01-27,TSLA,37.2
2020-01-28,TSLA,37.79
2020-01-29,TSLA,38.73
2020-01-30,TSLA,42.72
2020-01-31,TSLA,43.37
2020-02-03,TSLA,52.0
2020-02-04,TSLA,59.14
2020-02-05,TSLA,48.98
2020-02-06,TSLA,49.93
2020-02-07,TSLA,49.87
2020-02-10,TSLA,51.42
2020-02-11,TSLA,51.63
2020-02-12,TSLA,51.15
2020-02-13,TSLA,53.6
2020-02-14,TSLA,53.34
2020-02-18,TSLA,57.23
2020-02-19,TSLA,61.16
2020-02-20,TSLA,59.96
2020-02-21,TSLA,60.07
2020-02-24,TSLA,55.59
2020-02-25,TSLA,53.33
2020-02-26,TSLA,51.92
2020-02-27,TSLA,45.27
2020-02-28,TSLA,44.53
2020-03-02,TSLA,49.57
2020-03-03,TSLA,49.7
2020-03-04,TSLA,49.97
2020-03-05,TSLA,48.3
2020-03-06,TSLA,46.9
2020-03-09,TSLA,40.53
2020-03-10,TSLA,43.02
2020-03-11,TSLA,42.28
2020-03-12,TSLA,37.37
2020-03-13,TSLA,36.44
2020-03-16,TSLA,29.67
2020-03-17,TSLA,28.68
2020-03-18,TSLA,24.08
2020-03-19,TSLA,28.51
2020-03-20,TSLA,28.5
2020-03-23,TSLA,28.95
2020-03-24,TSLA,33.67
2020-03-25,TSLA,35.95
2020-03-26,TSLA,35.21
2020-03-27,TSLA,34.29
2020-03-30,TSLA,33.48
2020-03-31,TSLA,34.93
2020-04-01,TSLA,32.1
2020-04-02,TSLA,30.3
2020-04-03,TSLA,32.0
2020-04-06,TSLA,34.42
2020-04-07,TSLA,36.36
2020-04-08,TSLA,36.59
2020-04-09,TSLA,38.2
2020-04-13,TSLA,43.4
2020-04-14,TSLA,47.33
2020-04-15,TSLA,48.66
2020-04-16,TSLA,49.68
2020-04-17,TSLA,50.26
2020-04-20,TSLA,49.76
2020-04-21,TSLA,45.78
2020-04-22,TSLA,48.81
2020-04-23,TSLA,47.04
2020-04-24,TSLA,48.34
2020-04-27,TSLA,53.25
2020-04-28,TSLA,51.27
2020-04-29,TSLA,53.37
2020-04-30,TSLA,52.13
2020-05-01,TSLA,46.75
2020-05-04,TSLA,50.75
2020-05-05,TSLA,51.21
2020-05-06,TSLA,52.17
2020-05-07,TSLA,52.0
2020-05-08,TSLA,54.63
2020-05-11,TSLA,54.09
2020-05-12,TSLA,53.96
2020-05-13,TSLA,52.73
2020-05-14,TSLA,53.56
2020-05-15,TSLA,53.28
2020-05-18,TSLA,54.24
2020-05-19,TSLA,53.87
2020-05-20,TSLA,54.37
2020-05-21,TSLA,55.17
2020-05-22,TSLA,54.46
2020-05-26,TSLA,54.59
2020-05-27,TSLA,54.68
2020-05-28,TSLA,53.72
2020-05-29,TSLA,55.67
